Rank,Movie Title,Worldwide,Domestic,%,Foreign,%
529,Made in Abyss: Journey's Dawn,"$135,821","$134,047",98.7%,"$1,774",1.3%
530,Sonchiriya,"$135,413","$86,765",64.1%,"$48,648",35.9%
531,The Other Story,"$135,191","$135,191",100%,-,-
532,The Wind,"$130,974","$28,252",21.6%,"$102,722",78.4%
533,Mister America,"$130,897","$130,897",100%,-,-
534,Section 375,"$129,916",-,-,"$129,916",100%
535,Paris Is Burning 2019 Re-release,"$125,677","$125,677",100%,-,-
536,This Changes Everything,"$125,348","$64,988",51.8%,"$60,360",48.2%
537,Mary Magdalene 2019 Re-release,"$124,741","$124,741",100%,-,-
538,A Tuba to Cuba,"$124,592","$121,772",97.7%,"$2,820",2.3%
539,Easy Rider 2019 Re-release,"$123,276","$123,276",100%,-,-
540,Rosie,"$122,515","$6,839",5.6%,"$115,676",94.4%
541,Downtown 81 2019 Re-release,"$122,390","$122,390",100%,-,-
542,Tremors,"$121,813","$23,911",19.6%,"$97,902",80.4%
543,Avant qu'on explose,"$119,894","$119,894",100%,-,-
544,Skin,"$116,863",-,-,"$116,863",100%
545,Mob Psycho 100,"$115,766","$115,766",100%,-,-
546,Sympathy for the Devil,"$114,301","$51,150",44.8%,"$63,151",55.2%
547,The Woman Who Loves Giraffes,"$113,858","$113,858",100%,-,-
548,Police Story,"$113,164","$113,164",100%,-,-
549,Babylon,"$109,749","$109,749",100%,-,-
550,The Brink,"$106,057","$106,057",100%,-,-
551,Cold Case Hammarskjöld,"$104,965","$104,965",100%,-,-
552,Hotel by the River,"$101,879","$28,354",27.8%,"$73,525",72.2%
553,Those Who Remained,"$101,737",-,-,"$101,737",100%
554,QT8: The First Eight,"$101,346","$51,896",51.2%,"$49,450",48.8%
555,Heavy Water,"$99,503","$55,446",55.7%,"$44,057",44.3%
556,High Strung Free Dance 2019 Re-release,"$98,481","$83,891",85.2%,"$14,590",14.8%
557,Charlie Says,"$98,240","$40,685",41.4%,"$57,555",58.6%
558,Prassthanam,"$97,204","$19,984",20.6%,"$77,220",79.4%
559,Little Monsters,"$97,111",-,-,"$97,111",100%
560,Saint Judy,"$96,212","$78,935",82%,"$17,277",18%
561,A Bigger Splash 2019 Re-release,"$95,826","$95,826",100%,-,-
562,Saand Ki Aankh,"$95,724",-,-,"$95,724",100%
563,The Final Wish,"$95,215","$25,183",26.4%,"$70,032",73.6%
564,Papi Chulo,"$94,321","$84,703",89.8%,"$9,618",10.2%
565,Mapplethorpe,"$91,002","$91,002",100%,-,-
566,Loopers: The Caddie's Long Walk,"$90,679","$90,679",100%,-,-
567,The Lumber Baron,"$88,336","$88,336",100%,-,-
568,Jim Allison: Breakthrough,"$87,984","$87,984",100%,-,-
569,ECCO,"$86,858","$86,858",100%,-,-
570,Vault,"$86,741","$29,491",34%,"$57,250",66%
571,Skid Row Marathon,"$84,997","$84,997",100%,-,-
572,Woodstock,"$84,440","$84,440",100%,-,-
573,The Disappearance of My Mother,"$83,930","$24,951",29.7%,"$58,979",70.3%
574,The Kindness of Strangers,"$83,042","$2,705",3.3%,"$80,337",96.7%
575,Prey,"$82,258",-,-,"$82,258",100%
576,Kind Hearts and Coronets 2019 Re-release,"$80,795","$35,948",44.5%,"$44,847",55.5%
577,Batman Returns 2019 Re-release,"$80,699","$70,642",87.5%,"$10,057",12.5%
